                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5103,                 3.5441,                 1.4154,                0.00704,                0.92308,                0.02472,                0.01326,                 1.0014,                 3.2205,                 1.0427,                0.00012,                0.00012,                0.00012
                      2,                 1.1054,                 2.4869,                 1.1032,                0.00613,                0.96154,                 0.3684,                0.25823,                0.97638,                 2.8163,                0.98059,             0.00025957,             0.00025957,             0.00025957
                      3,                 1.1184,                 1.4329,                 1.1056,                0.02156,                0.95192,                0.91116,                0.65386,                 1.0281,                 2.3785,                0.97248,             0.00039868,             0.00039868,             0.00039868
                      4,                 1.0688,                 1.1638,                 1.0481,                0.00511,                0.96154,                0.94014,                0.66542,                 1.0151,                  2.432,                0.95596,             0.00053733,             0.00053733,             0.00053733
                      5,                0.96101,                 1.0046,                 1.0178,                      1,                0.18497,                0.93159,                0.64933,                 1.0195,                  2.273,                0.98145,             0.00067551,             0.00067551,             0.00067551
                      6,                  1.107,                 1.0265,                 1.0779,                      1,                0.59353,                0.83538,                0.62032,                0.94588,                 2.5072,                0.96022,             0.00081323,             0.00081323,             0.00081323
                      7,                 1.1203,                0.99903,                 1.0806,                      1,                0.29318,                0.90712,                0.62524,                 1.0763,                 2.4134,                 1.0758,              0.0009505,              0.0009505,              0.0009505
                      8,                  1.154,                0.97138,                 1.0905,                0.03397,                0.94231,                 0.8796,                0.62163,                 1.0123,                 2.5152,                  1.069,              0.0010873,              0.0010873,              0.0010873
                      9,                 1.0744,                0.92262,                 1.0546,                      1,                0.48177,                0.93813,                0.69467,                0.97008,                 2.1955,                 1.0344,              0.0012236,              0.0012236,              0.0012236
                     10,                 1.0432,                0.88302,                  1.069,                      1,                0.81922,                0.96232,                0.69108,                0.97355,                 1.8727,                 1.0312,              0.0013595,              0.0013595,              0.0013595
                     11,                 0.9928,                0.87741,                  1.042,                      1,                0.83079,                0.96319,                0.66713,                 1.0786,                 1.8224,                 1.1191,              0.0014949,              0.0014949,              0.0014949
                     12,                 1.0516,                0.84792,                 1.0651,                      1,                0.85976,                0.95386,                0.66933,                  1.078,                 1.7452,                  1.109,              0.0016299,              0.0016299,              0.0016299
                     13,                0.98628,                0.84143,                 1.0583,                      1,                0.87022,                0.95474,                0.70319,                  1.041,                 1.6134,                 1.0789,              0.0017644,              0.0017644,              0.0017644
                     14,                 1.0587,                0.89592,                 1.0694,                0.97779,                0.94231,                0.97188,                0.70742,                 0.9705,                 1.3811,                 1.0624,              0.0018984,              0.0018984,              0.0018984
                     15,                 1.1187,                0.88537,                  1.107,                0.98336,                0.94231,                0.97364,                0.71833,                0.98546,                 1.1106,                 1.0932,              0.0019538,              0.0019538,              0.0019538
                     16,                 1.0427,                0.90284,                  1.092,                0.98877,                0.93269,                0.96425,                0.70956,                0.98233,                  1.345,                  1.097,              0.0019538,              0.0019538,              0.0019538
                     17,                 1.0563,                0.91109,                 1.0786,                      1,                0.96136,                0.96523,                0.71955,                0.99272,                0.97149,                 1.1249,              0.0019505,              0.0019505,              0.0019505
                     18,                 1.0612,                0.88683,                 1.1024,                0.97136,                0.93269,                0.95978,                0.72677,                0.95447,                 1.0034,                 1.1264,              0.0019472,              0.0019472,              0.0019472
                     19,                 1.0212,                0.84707,                 1.0872,                0.99531,                0.96154,                0.96632,                0.73492,                0.90498,                0.85777,                  1.084,              0.0019439,              0.0019439,              0.0019439
                     20,                0.95698,                0.76561,                 1.0378,                0.99658,                0.95192,                0.97025,                0.73006,                0.90688,                0.89896,                 1.0645,              0.0019406,              0.0019406,              0.0019406
                     21,                 1.0108,                 0.7836,                 1.0559,                      1,                0.95933,                0.97056,                0.73772,                0.90129,                0.87125,                 1.0638,              0.0019373,              0.0019373,              0.0019373
                     22,                 1.0031,                0.75554,                 1.0687,                0.98781,                0.96154,                0.97497,                0.73912,                 0.8868,                0.77258,                 1.0478,               0.001934,               0.001934,               0.001934
